identifier,n_code,Source,c_custodian,Topics,Keywords,Title,AltTitle,Abstract,Lineage,Exclue,SME_Reviewed,lvl1-001,lvl2-001,lvl3-001,lvl3-002,lvl3-003,lvl3-004,lvl3-005,lvl3-006,lvl3-007,lvl3-008,lvl3-009,lvl3-010,lvl3-011,lvl3-012,lvl3-013,lvl3-014,lvl3-015,lvl3-016,lvl3-017,lvl2-002,lvl3-018,lvl3-019,lvl3-020,lvl3-021,lvl2-003,lvl3-022,lvl3-023,lvl3-024,lvl3-025,lvl3-026,lvl3-027,lvl3-028,lvl3-029,lvl3-030,lvl3-031,lvl3-032,lvl3-033,lvl3-034,lvl3-200,lvl3-201,lvl2-004,lvl3-035,lvl3-036,lvl3-037,lvl3-038,lvl3-039,lvl3-040,lvl3-041,lvl3-042,lvl2-005,lvl3-043,lvl3-044,lvl3-045,lvl3-046,lvl3-047,lvl3-048,lvl1-002,lvl2-006,lvl3-049,lvl3-050,lvl3-051,lvl3-052,lvl2-007,lvl3-053,lvl3-054,lvl3-055,lvl3-056,lvl2-008,lvl3-057,lvl3-058,lvl3-059,lvl1-003,lvl2-009,lvl2-010,lvl1-004,lvl2-011,lvl3-060,lvl3-061,lvl3-062,lvl3-063,lvl3-064,lvl3-065,lvl2-012,lvl3-067,lvl3-068,lvl3-069,lvl3-070,lvl3-071,lvl3-072,lvl3-073,lvl3-074,lvl3-075,lvl2-013,lvl3-066,lvl3-076,lvl3-077,lvl3-078,lvl3-079,lvl3-080,lvl3-081,lvl3-082,lvl3-083,lvl2-014,lvl3-084,lvl3-085,lvl3-086,lvl3-087,lvl3-088,lvl3-089,lvl2-015,lvl3-090,lvl3-091,lvl3-092,lvl3-093,lvl3-094,lvl3-095,lvl3-096,lvl3-097,lvl3-098,lvl3-099,lvl3-100,lvl3-101,lvl3-102,lvl3-103,lvl3-104,lvl3-105,lvl3-106,lvl3-107,lvl3-108,lvl2-016,lvl3-109,lvl3-110,lvl3-111,lvl3-112,lvl3-113,lvl3-114,lvl3-115
386,386,NE Sample,Natural England,biota,Geographic Information,GCN Strategic Opportunity Areas - Shropshire,District Level Licensing Strategic Opportunity Areas for Great Crested Newts in Shropshire,"This dataset identifies areas where the addition of new ponds would benefit Great Crested Newt populations.The core areas contain a pond density of 2+ ponds and are located within a 1km square where great crested newt presence has been predicted.Fringe areas contain a pond density of 1 and are located within a 1km square where great crested newt presence has been predicted or are within a 250m of a Core Area.Higher scores are associated with darker colouration and represent a greater presence of suitable habitat features:grassland density 10% - 50%distance to deciduous woodland 0 - 200mconiferous woodland density 0% - 25%within 500m - 2000m of a riverThese suitable habitat features have been given a score of ‘1’.arable density 33.33% - 100%heather density 33.33% - 100%distance to nearest pond > 750mThese habitat features have been given a score of ‘-1’.Urban areas greater than 2ha (+400m buffer), roads (7.5m), rivers (7.5m) and Environment Agency Flood Zone 2 have been excluded. ","Data used to generate this derived data set includes the 2015 CEH Land Cover map (woodland, grassland, heather and arable land classifications), OS MasterMap (pond locations that have been converted by NE into pond densities), Natural Engalnd GCN Class License Survey Returns England, Natural England GCN Pond Surveys DLL 17 18 19, OS Open Rivers, OS Open Roads, Environment Agency Flood Map - Flood Zone 2, OS Boundary Line District Boundaries, Freshwater Habitats Trust Pond Net GCN data, Shropshire Ecological Data Network GCN data and Allocations data from Shorpshire Council and SP Energy Networks.Great Crested Newt data was provided by the Shropshire Ecological Data Network (SEDN, www.shropshireecology.co.uk)DOI for LCM2015 25m raster data for Great Britain:Rowland, C.S.; Morton, R.D.; Carrasco, L.; McShane, G.; O’Neil, A.W.; Wood, C.M. (2017) Land Cover Map 2015 (25m raster, GB). NERC Environmental Information Data Centre. https://doi.org/10.5285/bb15e200-9349-403c-bda9-b430093807c7DOI for LCM2015 Vector data for Great Britain: Rowland, C.S.; Morton, R.D.; Carrasco, L.; McShane, G.; O’Neil, A.W.; Wood, C.M. (2017) Land Cover Map 2015 (vector, GB). NERC Environmental Information Data Centre. https://doi.org/10.5285/6c6c9203-7333-4d96-88ab-78925e7a4e73",,Reviewed,Y,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,Y,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,387,NE Sample,Natural England,biota,Geographic Information,GCN Strategic Opportunity Areas - Somerset,District Level Licensing Strategic Opportunity Areas for Great Crested Newts in Somerset,"This dataset identifies areas where the addition of new ponds would benefit Great Crested Newt populations.The core areas contain a pond density of 2+ ponds and are located within a 1km square where great crested newt presence has been predicted.Fringe areas contain a pond density of 1 and are located within a 1km square where great crested newt presence has been predicted or are within a 250m of a Core Area.Higher scores are associated with darker colouration and represent a greater presence of suitable habitat features:grassland density 10% - 50%distance to deciduous woodland 0 - 200mconiferous woodland density 0% - 25%within 500m - 2000m of a riverThese suitable habitat features have been given a score of ‘1’.arable density 33.33% - 100%heather density 33.33% - 100%distance to nearest pond > 750mThese habitat features have been given a score of ‘-1’.Urban areas greater than 2ha (+400m buffer), roads (7.5m), rivers (7.5m) and Environment Agency Flood Zone 2 have been excluded. ","Data used to generate this derived data set includes the 2015 CEH Land Cover map (woodland, grassland, arable and urban land classifications), Cranfield National Soils Map (Sand), OS MasterMap (pond locations that have been converted by NE into pond densities), Natural England GCN Class Licence Survey Returns, NE GCN eDNA Pond Surveys 2017, 2018, 2019, Environment Agency Floodzone 2, OS Open Roads and OS Open Rivers, OS Boundary Line District Boundaries, Great Crested Newt data was provided by the Somerset Environmental Records Centre (SERC, www.somerc.com), Bristol Regional Environmental Records Centre and , allocations data were provided by Sedgemoor District Council, South Somerset District Council, Somerset West & Taunton Council and Mendip District Council.DOI for LCM2015 Vector data for Great Britain: Rowland, C.S.; Morton, R.D.; Carrasco, L.; McShane, G.; O’Neil, A.W.; Wood, C.M. (2017) Land Cover Map 2015 (vector, GB). NERC Environmental Information Data Centre. https://doi.org/10.5285/6c6c9203-7333-4d96-88ab-78925e7a4e73DOI for LCM2015 25m raster data for Great Britain:Rowland, C.S.; Morton, R.D.; Carrasco, L.; McShane, G.; O’Neil, A.W.; Wood, C.M. (2017) Land Cover Map 2015 (25m raster, GB). NERC Environmental Information Data Centre. https://doi.org/10.5285/bb15e200-9349-403c-bda9-b430093807c7",,Reviewed,Y,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,Y,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,390,NE Sample,Natural England,biota,Geographic Information,GCN Strategic Opportunity Areas - Telford,District Level Licensing Strategic Opportunity Areas for Great Ccrested Newts in Telford,"This dataset identifies areas where the addition of new ponds would benefit Great Crested Newt populations.The core areas contain a pond density of 2+ ponds and are located within a 1km square where great crested newt presence has been predicted.Fringe areas contain a pond density of 1 and are located within a 1km square where great crested newt presence has been predicted or are within a 250m of a Core Area.Higher scores are associated with darker colouration and represent a greater presence of suitable habitat features:grassland density 25% - 75%distance to woodland 0 - 100marable density 0 - 50%within 100m - 1500m of a rivera pH 6.5 - 8. These suitable habitat features have been given a score of ‘1’. Urban areas greater than 2ha (+400m buffer), roads (7.5m), rivers (7.5m) and Environment Agency Flood Zone 2 have been excluded. ","Data used to generate this derived data set includes the 2015 CEH Land Cover map (woodland, grassland, heather and arable land classifications), OS MasterMap (pond locations that have been converted by NE into pond densities), Natural Engalnd GCN Class License Survey Returns England, Natural England GCN Pond Surveys DLL 17 18 19, OS Open Rivers, OS Open Roads, Environment Agency Flood Map - Flood Zone 2, OS Boundary Line District Boundaries, Freshwater Habitats Trust Pond Net GCN data, Shropshire Ecological Data Network GCN data and Allocations data from Telford and Wrekin Council.Great Crested Newt data was provided by the Shropshire Ecological Data Network (SEDN, www.shropshireecology.co.uk)DOI for LCM2015 25m raster data for Great Britain:Rowland, C.S.; Morton, R.D.; Carrasco, L.; McShane, G.; O’Neil, A.W.; Wood, C.M. (2017) Land Cover Map 2015 (25m raster, GB). NERC Environmental Information Data Centre. https://doi.org/10.5285/bb15e200-9349-403c-bda9-b430093807c7",,Reviewed,Y,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,Y,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,391,NE Sample,Natural England,biota,Geographic Information,GCN_Pond_Survey_DLL_17_18_19,"Great Crested Newt eDNA Habitat Suitability Index Pond Surveys for District Level Licensing 2017, 2018, 2019",Great Crested Newt eDNA and Habitat Suitability Index Survey results for Ponds surveyed for District Level Licensing. Also included for some ponds is information on water pH and temperature as well as observations of other great crested newt life stages. ,"The eDNA surveys for great crested newts were undertaken following the methodology contained in the Technical Advice Note WC1067 (2014). Habitat suitability surveys were conducted following the Amphibian and Reptile Groups of the United Kingdom Advice Note 5 (2010). Ponds to be surveyed were identified using OS MasterMap® Topography Layer. This data is used to help build great crested species distribution models for District Level Licensing and will be updated annually with survey data generated through the monitoring of District Level Licensing compensation habitat.Datasets used:• OS Mastermap (Ordnance Survey)• NATMap (National Soil Resources Institute - Cranfield University)• Land Cover Map 2015 (Centre for Ecology and Hydrology)• Rural Land Registry (Rural Payments Agency)• GCN Class Licence Survey Returns England (NE)Acknowledgements:Any report, map, chart or image describing work which involves the use of NSRI’s NATMap data and CEH’s LCM data should reference the dataset and acknowledge NSRI and/or CEH as the source.",,Reviewed,Y,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,Y,,,,,Y,,Y,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24ae60295f7f5ca18065805b4f36b920,1640,MEDIN Sample,British Oceanographic Data Centre,oceans,,General Bathymetric Chart of the Oceans (GEBCO) Digital Atlas,British Oceanographic Data Centre record 1048026,"The General Bathymetric Chart of the Oceans (GEBCO) Digital Atlas (GDA) contains global bathymetric data sets, consisting of the latest versions of GEBCO‚Äôs global gridded bathymetric data sets; global bathymetric contour and accompanying trackline control data sets; bathymetric contours and coastlines from the First Edition of the International Bathymetric Chart of the Mediterranean (IBCM); a set of digital global coastlines based on the World Vector Shoreline data set (coastlines south of 60S have been removed) at a range of scales from 1:43 million to 1:250,000; the SCAR coastline of Antarctica (version 3.0) at a range of scales from 1:30 million to 1:250,000; and a digital set of geographically referenced feature names including the International Hydrographic Organization (IHO)/Intergovernmental Oceanographic Commission (IOC) Gazetteer of Geographic Names of Undersea Features. The GEBCO dataset has global coverage and was first released in 1994. The contents of the GDA are updated periodically to include new versions of GEBCO‚Äôs bathymetric grids. The GDA is distributed on DVD and includes full documentation and a software interface for viewing and accessing the data sets.",unknown,Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,392,NE Sample,Defra,oceans ,geology; geomorphology; marine geology; datasets,Geological & Geomorphological Features,,"Erosional Glacigenic Features, Depositional Glacigenic Features, Erosional Fluvioglacial Features, Depositional Fluvioglacial Features, Periglacial Features, Ice Limit ,Tidal Bank Features, Transverse Bedform Features, Longitudinal Bedform Features, Bedform Field Other, Erosional Scour Features, Ebb Delta, Slide Deposit ,Slide Scar ,Rollover Fold ,Turbidity Flow Features, Palaeo Channel Features,Submerged Peats, Submerged Terrace Features, Buried Dune Field Features, Submerged Cliffline Features, Palaeo Lagoon Features, Submerged Caves, Topographic Features and rock outcrops, Rock Structures, Bioherm Features, Fluid and Gas Seep Structures, Mud Diapir, Sediment Drift",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,394,NE Sample,Natural Resources Wales,environment ,Environment; Geology,Geological Conservation Review Site Boundaries (Wales),Initial proposed GCR boundaries;Ffiniau Safleoedd yr Adolygiad Cadwraeth Ddaearegol (Gwreiddiol),"The dataset contains the original site boundaries for all Geological ConservationReview (GCR) Sites in Wales. The boundaries define the area of a particular GCRSite (usually coincident with the geological feature as defined by Common StandardsMonitoring). Proposed, current and denotified boundaries are included. Recordsoriginally collected to show the extent of GCR blocks. These blocks representimportant geological or geomorphological topics (e.g. Mineralogy), geological timedivisions, stages and series (e.g. Llandeilo), and areas of search (e.g. South Walesand the Mendips).",Boundaries were produced for approximately 450 sites in Wales by the GCR Unit between 1977-1990 and have been produced for each GCR site added to the register after 1990. Original paper maps at various scales have been coverted to OSMM (1:2500 scale) using GIS. Digitising tablets used if necessary. Where boundaries have been checked by ESO (Earth Scientist Officers) confidence is fairly high. Where they have not been checked the confidence is moderate (see final column in attribute data for this information). Some boundaries have necessarily been modified in the course of the Site of Special Scientific Interest (SSSI) notification process and other Natural Resource Wales (NRW) reviews. When the latest versions of the site boundaries have been collated and verified by NRW's Earth Science Officers the aim is to issue a second dataset- 'GCR Site Boundaries (Current)'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,395,NE Sample,Natural England,environment ,geological sites that can be visited by the public,Geological Places to Visit (GB),Geological Sites,Geological Sites in Englnad and suggested places to visit.  It links to further information on the NE website for each site ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,396,NE Sample,GeoSmart Limited,environment,Geographic Information,GEOSMART DEPTH TO WINTER GROUNDWATER TABLEMAP,GW50,"This dataset was developed using GeoSmart's peer-reviewed methodology for deriving groundwater flooding risk maps, except that in this case typical high winter or spring conditions are represented rather than extreme flooding conditions.Two mechanisms for high groundwater levels are considered:1) Equilibrium with high river levels in superficial deposits:In permeable superficial deposits that are in hydraulic continuity with rivers, and particularly those which are underlain by impermeable layers, groundwater levels are controlled by direct recharge from rainfall and by exchange with rivers. As rivers integrate recharge from a large catchment, river levels can rise at a faster rate than groundwater levels, such that they become the dominant source of recharge to the shallow aquifers. Groundwater levels rise in response to recharge from rivers, tending towards an equilibrium with river levels.2) Recharge leading to high groundwater levels in bedrock aquifers:Reduced evapotranspiration during winter leads to increased groundwater recharge, raising the water table in permeable bedrock aquifers such that it reaches its annual peak in winter or spring.For full report see “R65252.07R1_Guidance_Vn1” pdf.","Groundwater levels in superficial deposits are estimated by assuming that they are in hydraulic continuity with water levels in rivers. The topographic dataset used is the July 2016 release of the Ordnance Survey (OS) Terrain 50 digital terrain model (DTM), which is available on a 50m grid and has a vertical precision of 0.1m. This DTM was used to derive a national groundwater level map for a typical winter. River channels were derived from the DTM by assuming a threshold catchment size of 0.5 km2 for the initiation of channel formation. This catchment size is assumed to be suitable for representing river networks in areas of low permeability bedrock.Groundwater levels were estimated by using 2-D interpolation between river bank elevations and coastline elevations. The coastline was defined based on the high water line included in the OS Boundary Line dataset (January 2016 release). For areas underlain by permeable bedrock formations, the corrected BGS dataset on average high bedrock groundwater levels was used. For areas underlain by low transmissivity bedrock, and for which BGS data on bedrock groundwater levels was not available, our modelled groundwater surface based on estimated river levels and coastline elevations was used. In this way, a national dataset of average high winter-time groundwater levels was derived.Unsaturated zone thickness was derived as the difference between groundwater elevation and ground elevation from the Terrain 50 DTM.For full report see “R65252.07R1_Guidance_Vn1” pdf.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2bfef0cd-ebac-4342-ba5d-472012ee3131,397,EA Sample,Animal and Plant Health Agency,,"OpenData, export, export licence",Germplasm Exports 2015,,"This dataset contains information on export applications received for Intra-union trade, exports to Third Countries and exports for National Trade (Northern Ireland, the Isle of Man and the Channel Islands) of germplasm (semen, ova and embryos). The dataset contains columns for the Export Health Certificate (EHC) number issued, the commodity being exported, the date the application was received, the date of export and the destination country of export. Where the EHC column does not contain data, the export is for Intra-union trade to a Member State of the European Union under Council Directives 88/407/EEC (as amended), 89/556/EEC (as amended), 90/429/EEC (as amended) or 92/65/EEC (as amended).  This will include Intra-union trade certificates where the final destination was to a Third Country but the germplasm transited the EU en route and was therefore required to have Intra-union trade certification issued as well as an EHC. This dataset is for germplasm exports where the loading address was in England only.",,Y,NA - exports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1b8ab39-8ff6-414c-bbe7-2eacb7a1a46e,3459,EA Sample,Environment Agency,,"Water Resource Zones, OpenData, water resource, water resources management",GIS Layer: Water Company Water Resource Zones in England for the Water Resource Management Planning period 2019.,,What is it?  •A GIS layer showing the Water Resource Zones (WRZs) for each water company in England. •These are the resource zones that water companies will be planning to as part of their 2019 Water Resource Management Plan’s (WRMP19). •This GIS layer has been aggregated from the GIS layers published by water companies.  •Minor adjustments have been applied by the Environment Agency to create a GIS layer that displays supply zones in England as one continuous layer. •Users will need to use all component files within the zipped documents to display the layer in a GIS program.,This GIS layer has been aggregated from the GIS layers published by water companies in England for the Water Resources Management Planning period 2019.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abc9f747-535f-0f38-e044-0003ba9b0d98,369,MEDIN Sample,British Geological Survey (BGS),geoscientificInformation,,Glasgow City Council (GCCL) Geophysical Survey 2002/3: Estuarine Contaminant: Clyde (25/Jun/2002 to 28/Jun/2002),,"This marine geophysical survey took place in June 2002 in the Clyde estuary between Greenock and Glasgow aboard the Scottish Environment Protection Agency (SEPA) vessel Endrick2. The British Geological Survey (BGS) carried out the survey on behalf of Glasgow City Council. The purpose was to gather data which could be used for Estuarine Contamination studies. Subsurface seismic data were gathered using a surface tow boomer. Most of the data were recorded digitally, but paper records were generated also. These data are archived by BGS. This survey forms part of a Clyde Estuarine Report, for details see BGS commissioned Report CR/04/057.","Geophysical equipment types used included: Surface Tow Boomer. British Geological Survey was contracted to undertake the survey on behalf of Glasgow City Council. For more detailed information on the acquisition equipment and data collection techniques, operational standards, data processing methods and quality control procedures used on this survey see the Report of Survey/Cruise Report and associated documentation where available. The information available may vary depending on the age of the survey. Data are checked and loaded to the BGS Coastal and Marine data management system following BGS marine data management procedures.",Y,Exclude - marine,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f5c7388-858c-402e-afa1-8b9c1e0ba4f8,1012,EA Sample,Animal and Plant Health Agency,,"OpenData, trade, imports",Goat Imports into Great Britian in 2016,,This dataset provides figures for the import of Goats into the Great Britain in 2016. The data has been gathered from Import Health certificates and summarized into the following fields. The top of the table details data from 2016 listed by exporting country. This data may not match HMRC Trade statistics for live animal movement which uses survey data from the Intrastat and Tax code information of third country imports.  Animals Certified As The reason for import listed on the import health certificate. Breeding/Production Slaughter Country The country which cattle where imported from. Number of Consignments The number of consignments from country or the year listed for previous years into England or Scotland respectively. Number of Animals The total number of animals imported from country or the year listed for previous years into England or Scotland respectively. Total Animals The total number animals imported from the country in question in 2016,This data was generated from Import Certificate data on 3rd March 2017 to summarise imports of Goats into Great Britian,Y,NA - imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,400,NE Sample,Environment Agency,inlandWaters ,maps and mapping; geographic information; water quality; rivers; canals; chemistry,GQA Headline indicators of Water Courses – Chemistry,,"The General Quality Assessment (GQA) Headline Indicator scheme or GQAHI (previously known as GQA) is the Environment Agency's national indicator for water quality in rivers and canals. It is designed to provide an accurate and consistent assessment of the state of water quality and how it changes over time as a national picture.  These assessments are made for Biological, Chemical and Nutrients and undertaken for discrete river stretches.The Chemistry GQAHI scheme has over 3000 sampling sites which provide information for approximately 22500 km of watercourses. In Wales we maintained the full GQA network based on 800 sampling sites which provides information for approximately 4700km.  Chemistry GQAHI/GQA sites are sampled twelve times a year, the samples being taken at the same spot on each sampling occasion to ensure consistency.  In England each chemical sample is measured for ammonia and dissolved oxygen. In Wales each chemical sample is measured for biochemical oxygen demand (BOD), ammonia and dissolved oxygen (the most common types of organic pollution from sewage treatment works, agriculture and industry).  A category is assigned using three years worth of samples for each sampled chemical and assigned a category assessed against chemical standards expressed as percentiles The data collected over three years are used to determine average nutrient concentrations. So the classification for the year 2008 includes the results for 2006 and 2007.  Subsequently a category is assigned to each length of river according to the lowest standard achieved by any of the two or three measurements:The Chemistry GQA as used in Wales describes quality in terms of three chemical measurements that detect the most common types of organic pollution from sewage treatment works, agriculture and industry.  The chemistry GQAHI scheme as used in England uses the same methods however the biochemical oxygen demand (BOD) component of the assessment has been removed.Grades of river quality for the chemical GQAChemical grade Likely uses and characteristics*A Very good All abstractions, Very good salmonid fisheries, Cyprinid fisheries, Natural ecosystemsB Good All abstractions, Salmonid fisheries, Cyprinid fisheries, Ecosystems at or close to naturalC Fairly good Potable supply after advanced treatment, Other abstractions, Good cyprinid fisheries, Natural ecosystems, or those corresponding to good cyprinid fisheriesD Fair Potable supply after advanced treatment, Other abstractions, Fair cyprinid fisheries, Impacted ecosystemsE Poor Low grade abstraction for industry, Fish absent or sporadically present, vulnerable to pollution**, Impoverished ecosystems**F Bad Very polluted rivers which may cause nuisance, Severely restricted ecosystems*Provided other standards are met**Where the grade is caused by discharges of organic pollution",,,,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,401,NE Sample,Environment Agency,inlandWaters ,maps and mapping; geographic information; water quality; rivers; canals; Nutrients,GQA Headline indicators of Water Courses – Nutrients,,"The General Quality Assessment Headline Indicator scheme (GQAHI) was the Environment Agency's national method for creating a water quality indicator based on rivers and canals in England. This was a reduced network compared to the original GQA network used in England from 1990 to 2006. The Nutrients GQAHI scheme had over 3000 sampling sites which provide information for approximately 22500 km of watercourses. In Wales we maintained the full GQA network until 2010 based on 800 sampling sites which provided information for approximately 4700km. The GQAHI/GQA scheme was designed to provide an accurate and consistent assessment of the state of water quality and how it changes over time. The Nutrients GQA described quality in terms of two nutrients: nitrates (mg NO3 /l) and phosphates (mg P/l) and graded from 1 to 6. Grades were allocated for both phosphate and nitrate; they were not combined into a single nutrients grade. There were no set ‘good’ or ‘bad’ concentrations for nutrients in rivers in the way that we describe chemical and biological quality. Rivers in different parts of the country have naturally different concentrations of nutrients. ‘Very low’ nutrient concentrations, for example, are not necessarily good or bad; the classifications merely stated that concentrations in this river were very low relative to other rivers.",,,,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,403,NE Sample,Natural England,biota ,grassland; lowland grassland; lowland grassland habitats; inventories,Grassland Inventory,,"The inventory was produced by English Nature with the aim of making lowland grassland data available for conservation management schemes in the wider countryside. However it is a PROVISIONAL document and should be used as a guide and not as a definitive resource statement. The inventory highlights sites for which English Nature (and now Natural England) or other organisations hold detailed information.  Lowland grassland is broadly defined as enclosed grassland occurring at, or below, 300 m above sea level.  Sites include fen meadows and selected swamp communities and those unimproved lowland grasslands defined as of high-botanical interest in Guidelines for the selection of biological SSSIs (NCC, 1989), but exclude maritime and sea cliff vegetation.  The fen meadow and swamp communities have been included because they are often part of the farmland landscape and frequently occur in mosaics with grassland communities.  Lowland Grassland sites from Natural England Inventory. Grassland Code Key - CG=Calcareous grassland, M=Mires (fen meadows/rush pastures), MG= Mesotrophic (neutral) grassland, S=Swamps, SD=Sand dune communities, U=Acid grassland",,,,,Y,,,,,,Y,Y,Y,,,Y,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2de3f08-3f89-4b67-914c-1c62c0870962,8149,EA Sample,Rural Payments Agency,,"OpenData, Cattle Data, animal husbandry",Great Britain cattle population as at 30 September 2012,,This dataset as reported to the Rural Payments Agency contains information on a list of cattle population as at 30 September 2012. This includes cattle born or imported in Great Britain and cattle born before 1 July 1996 which weren't registered until 2000.,"This data extract was taken from the Rural Payments Agency Operations team source of reports, the data has been formated to ensure it complies with Data Protection Act and publishing guidelines.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
3dbb7802-b30e-4702-bdce-6271f845cfb6,7572,EA Sample,Rural Payments Agency,,"OpenData, Cattle Data, animal husbandry",Great Britain cattle population on 1 January 2011,,"This dataset as reported to the Rural Payments Agency contains a list of the population of cattle born or imported in Great Britain as of 1 January 2011. This includes cattle born before 1 July 1996 and incomplete applications where location, breed, sex and date of birth is under investigation","This data extract was taken from the Rural Payments Agency Operations team source of reports, the data has been formated to ensure it complies with Data Protection Act and publishing guidelines.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
